1,186.939,149.662,1549.88,
2,-189.731,135.501,1542.76,
3,492.16,122.805,1553.48,
1,164.014,109.429,1533.12,
2,-198.514,131.945,1537.86,
3,525.426,103.326,1590.77,
1,172.368,123.771,1532.84,
2,-213.487,112.219,1524.63,
3,531.919,102.917,1560.8,
1,176.19,107.725,1549.95,
2,-191.192,139.416,1510.66,
3,512.847,124.698,1581.97,
1,172.765,151.148,1580.17,
2,-177.397,150.058,1517.46,
3,508.481,134.75,1592.58,
1,195.784,154.712,1574.54,
2,-174.725,116.754,1545.43,
3,494.251,117.732,1560.51,
1,179.644,109.503,1551.16,
2,-212.533,148.274,1517.2,
3,495.809,114.267,1584.01,
1,182.13,146.747,1566.88,
2,-184.319,119.912,1516.11,
3,528.425,95.0628,1556.24,
